customer_id,age,job,urban_rural,marital_status,kids,disposable_income,mobiles_changed,mobile_age,own_smartphone,current_mobile_price,credit_card_type,own_house,own_cr_card,monthly_bill,call_mins,basic_plan_amount,extra_mins,roam_call_mins,call_mins_delta,bill_amount_delta,incoming_call_mins,outgoing_calls,incoming_calls,day_night_call_ratio,day_night_call_delta,calls_dropped,loyalty_months,complaint_calls,promo_calls_made,promo_offers_accepted,new_numbers_called,customer_dropped
1038417,30,NA,town,no,FALSE,534,2,322,TRUE,2489.508,B,FALSE,true,2574.77,17.25,2669.1099999999997,0,0,-0.045,0.0032,0,0,0,3.592814371,-1.335270195,0.33,17,0,0,0,0,false
1036320,0,NA,NA,unknown,FALSE,0,1,588,TRUE,0,B,TRUE,false,3992.54,244.5,3781.61,8.5,0,4.99,0.1226,76.71,43.33,11,3.360056259,0.869656265,4.33,19,0,0,0,1,true
1074463,32,NA,urban,yes,FALSE,534,1,340,TRUE,0,B,FALSE,true,3114.11,134.5,4004.11,0,0,3.63,0,0,0,0,0,-4.030227833,0,12,0,0,0,0,false
1058698,48,professional,rural,yes,TRUE,534,2,270,TRUE,7473.507999999999,B,FALSE,true,5545.59,511.25,4449.110000000001,32.75,0,-6.485,-0.2266,169.01,0.33,1.67,6.618794797,-2.846409112,6.33,17,0,0,0,0,true
1071921,64,professional,urban,yes,FALSE,445,1,308,TRUE,0,B,FALSE,true,2792.8199999999997,174,3559.11,3.25,0,-0.78,-0.0278,0,0,0,0,-9.380374439,0,10,0,0,0,0,false
1029675,26,NA,urban,unknown,FALSE,534,3,64,TRUE,24917.507999999994,B,TRUE,true,8723.779999999999,939,4004.11,103,15.85,5.9,1.317,227.1,86,10.67,0.777777778,-1.779961207,15,23,2,0,0,0,false
1076446,50,professional,urban,yes,TRUE,801,1,201,TRUE,0,B,FALSE,true,4199.0199999999995,301.75,890,0,0,-6.035,-0.7436,8.11,12.33,3.33,2.475714286,14.19043502,1.33,7,0,0,0,0,false
1049053,36,NA,NA,unknown,FALSE,178,1,399,TRUE,0,B,FALSE,true,2693.1400000000003,42.75,2669.1099999999997,0,0,0.585,-0.0054,0,0.33,0,2.759398496,-1.477838254,1,13,0,0,0,0,true
1061139,48,NA,urban,yes,TRUE,801,3,81,TRUE,24917.507999999994,C,FALSE,true,5813.48,566.25,3899.98,57.25,0.1,-0.145,-0.319,216.77,50.33,21.33,0.972663049,2.077169889,6.33,12,2,0,0,0,true
1002866,44,NA,town,no,FALSE,0,2,622,TRUE,7473.507999999999,D,TRUE,true,3756.69,135,3113.22,12.75,0,-2.7,-0.1446,22.68,3.33,2.33,1.666521739,6.758681529,1,41,0,0,0,0,false
1098961,44,NA,NA,no,TRUE,356,1,1036,FALSE,0,E,FALSE,false,7813.31,111.25,8454.109999999999,7.25,0,-1.045,0.074,38.77,14.33,8.67,2.066666667,-6.267116525,3.33,35,0,0,0,0,false
1057224,46,own_business,urban,yes,TRUE,801,1,334,TRUE,0,B,FALSE,true,5239.429999999999,322.5,5339.110000000001,0,3.41,-2.81,-0.1126,0,0,0,0,4.296696681,0,11,0,0,0,0,false
1052989,68,NA,NA,yes,FALSE,623,2,428,TRUE,2489.508,B,FALSE,false,2820.4100000000003,67.75,2669.1099999999997,0,0,-1.035,-0.034,3.49,2.33,0,1.551189245,6.245732558,2.33,14,0,0,0,0,true
1011951,48,professional,rural,yes,TRUE,801,2,132,TRUE,7473.507999999999,A,FALSE,true,5469.9400000000005,950.5,4004.11,91,0.68,4.37,0.0516,158.29,59.33,13.67,0.94665188199999994,7.06885685,32.33,27,7,0,0,0,true
1007914,28,NA,NA,unknown,FALSE,712,1,986,FALSE,0,A,FALSE,true,3659.68,334.5,4004.11,17.5,0,2.77,0.3676,60.06,13.67,6,0.860759494,9.83443035,5,32,0,0,0,0,true
1012443,0,NA,NA,unknown,FALSE,0,1,912,FALSE,0,E,TRUE,yes,3243.16,235.25,3559.11,0,0,1.355,-0.0046,58.01,15,0,1.861793808,7.890464891,3.67,30,0.67,0,0,0,false
1051453,0,NA,town,unknown,FALSE,0,1,549,TRUE,0,C,TRUE,false,2930.77,152,3736.22,1.75,0,1.76,0.037,22.76,4.67,0,1.939645826,10.2930811,9,19,2,0,0,0,true
1003702,32,professional,NA,no,FALSE,445,5,682,TRUE,37377.508,A,FALSE,true,445,0,0,0,0,0,0,0,0,0,0,-9.50746085,0,41,0,0,0,0,true
1098343,56,professional,urban,yes,FALSE,623,1,1112,FALSE,0,A,FALSE,true,1347.46,0.25,1335,0,0,0.015,-0.0026,0,0,0,0,-5.656776312,0.33,37,0,0,0,0,false
1039274,0,NA,NA,unknown,FALSE,0,1,662,TRUE,0,F,TRUE,false,6675,676.75,6675,0,0,0.465,0,153.52,24,0.67,10.88875,5.136694514,4.33,22,0,0,0,0,false
